User|Def Acct|Admin|Cluster|Account|Partition|Share|MaxJobs|MaxNodes|MaxCPUs|MaxSubmit|MaxWall|MaxCPUMins|QOS|Def QOS
chiaminchung|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
chill|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
cjackson|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
ckim|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
ckreisch|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
cmingarelli|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
cmodi|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
cmueller|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
cpark|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
cskokgibbs|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
cwindolf|ccn|None|slurm_cluster|ccn||1|||||||ccn,gen,ib,preempt|gen
daisyleung|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
danekstein|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
dangles|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
dbadrtdinov|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
dbarmherzig|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
dbauernfeind|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
dberenberg|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
dbonacorsi|other|None|slurm_cluster|other||1|||||||gen,ib,other,preempt|gen
dchklovskii|ccn|None|slurm_cluster|ccn||1|||||||ccn,gen,ib,preempt|gen
ddefelip|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
dfielding|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
dforeman|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
dfortunato|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
dfrants|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
dgolez|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
dhofmann|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
dkim|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
dli|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
dlipshutz|ccn|None|slurm_cluster|ccn||1|||||||ccn,gen,ib,preempt|gen
dluo|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
dmalhotra|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
dneedleman|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
drennehan|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
dsalim|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
dsels|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
dsouthwick|other|None|slurm_cluster|other||1|||||||gen,ib,other,preempt|gen
dstein|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
